Regulator,Interaction,Target,Weight
AT1G30330,regulates,AT1G58100,1.0
AT1G43700,regulates,AT1G19670,1.0
AT1G04990,regulates,AT2G39415,1.0
AT3G57920,regulates,AT3G23630,1.0
AT1G58100,regulates,AT2G26580,1.0
AT4G36780,regulates,AT5G64840,1.0
AT3G57920,regulates,AT1G07135,0.986113406620989
AT1G04990,regulates,AT1G22810,0.960184942034252
AT1G04990,regulates,AT1G13930,0.9047078044414
AT3G57920,regulates,AT3G50930,0.879630613815651
AT1G51140,regulates,AT4G23550,0.861070902728821
AT1G30330,regulates,AT5G24230,0.831933197848764
AT2G28450,regulates,AT1G68640,0.819996712390225
AT4G36780,regulates,AT2G44370,0.810331478692906
AT3G57920,regulates,AT4G24570,0.794793229101883
AT2G36080,regulates,AT1G15100,0.78872101298007
AT1G30330,regulates,AT1G68880,0.778132639359927
AT5G11260,regulates,AT5G43170,0.776667844286925
AT4G17230,regulates,AT5G52510,0.770505126414888
AT1G30330,regulates,AT3G13760,0.766095400437858
AT1G30330,regulates,AT1G19220,0.756615498533602
AT4G36730,regulates,AT4G15248,0.743804945503174
AT4G17230,regulates,AT1G20310,0.730542572753144
AT4G17230,regulates,AT3G25655,0.718064550488759
AT1G30330,regulates,AT1G30330,0.717384988745478
